Name,Year_Built,Average_Rent_sf,lon,lat,GrvDemandWeight,GrvDemandWeight_10k
MARYMOUNT APARTMENTS,1969,2.04,-122.219467,37.487872, , 
MARYMOUNT TOWER,1968,3.03,-122.2203713,37.4880717, , 
MAYFAIR,1929,2.07,-122.255131,37.810384,234518,23.451828
MCLELLAN ESTATES,1972,2.52,-122.277262,37.523957, , 
MEADOWS,1976,2.2,-122.053799,37.540488,58499,5.849894
MEADOWWOOD,1973,1.52,-122.040947,37.999374,88144,8.814366
MEDALLION,1976,2.22,-122.053011,37.605255,82628,8.262769
MEEKLAND MANOR,1964,1.89,-122.116972,37.685445,105794,10.579375
MERIDIAN (THE),1972,2.54,-122.0759096,37.8926992,88579,8.857921
MERRITT ON 3RD AVENUE,1975,2.87,-122.256956,37.796052,222961,22.296129
METRO 655,1987,1.91,-122.0555018,37.6360912,89501,8.950147
METRO PARK,1958,2.21,-122.1422065,37.7165623,108195,10.819518
METROPOLITAN APARTMENTS,2003,3.78,-122.318054,37.567977, , 
MILL CREEK AT WINDEMERE,2005,2.14,-121.908763,37.756745,53829,5.382911
MILL SPRINGS PARK,1989,2.5,-121.774484,37.681251,42863,4.286269
MIRA VISTA HILLS,1986,1.76,-121.8343928,38.0014567,26366,2.636554
MIRAMAR,2002,3.12,-122.265848,37.568583, , 
MISSION BAY APARTMENT,1987,1.31,-121.958447,38.028382,31852,3.185159
MISSION BAY CONDOMINIUM HOMES,1988,1.76,-122.0528758,37.6340871,87845,8.784518
MISSION HEIGHTS,1968,1.85,-122.0541105,37.6376578,89587,8.958714
MISSION PEAKS,1995,2.41,-121.9674267,37.5550305,71405,7.140456
MISSION PEAKS II,1989,2.39,-121.9648631,37.5567167,65638,6.563805
MISSION PINES,1984,2,-122.1217484,37.996844,64984,6.498386
MISSION SIERRA,1986,2.41,-122.0017499,37.5904372,66201,6.620097
MONTAIR,1948,1.51,-122.109726,37.695897,97232,9.723249
MONTE DIABLO,1963,2.26,-122.319371,37.577025, , 
MONTOYA GARDEN,1964,1.69,-122.3301608,37.9499161,70016,7.001619
MOUNTAIN VIEW,1964,1.87,-122.050021,37.947759,107070,10.706994
MUIR CREEK,1984,1.84,-122.098834,37.994378,74200,7.419994
MUIR PARK CONDOS,1986,1.79,-122.0986561,37.9930956,76806,7.680646
MUIRLANDS AT WINDEMERE,2005,1.22,-121.9052025,37.7608383,54219,5.421851
MUIRWOOD,1984,1.96,-122.1191344,37.9932331,67423,6.742297
NEW BRIGHTON PLACE,1963,2.07,-122.2949574,37.8975006,152261,15.226126
NEW CALIFORNIAN APARTMENTS,2010,3.81,-122.273502,37.872261,198651,19.865084
NEWELL VISTA,1964,2.04,-122.0541062,37.8949914,92735,9.273458
NILE STATION APARTMENTS,1959,2.06,-121.968047,37.573523,68359,6.835944
NORTHGATE PLAZA,1971,1.94,-122.0384951,37.5742912,82225,8.222517
NORTHGATE SAVOY,1975,1.88,-122.038573,37.576137,78483,7.84831
NORTHPARK,1972,3.59,-122.3604663,37.5873104, , 
NORTHRIDGE CONDOS,1974,1.98,-122.069262,37.973323,105200,10.52002
OAK HILL,1972,1.89,-122.0368314,37.6314009,74207,7.4207
OAK HILLS,1988,1.69,-121.9443137,38.0146745,30760,3.075963
OAK POINTE,1971,2.22,-121.9608643,37.5306626,80262,8.026157
OAK VIEW,1974,2.89,-122.3272024,37.5346637, , 
OAK WALK APARTMENTS,2009,3.35,-122.279277,37.831832,284383,28.438268
OAKWOOD VILLAGE,1978,1.19,-121.829935,38.0041889,26094,2.609438
OLIVERA VILLA,1972,1.48,-122.0335412,37.9945747,83890,8.389042
ONE THREE FOUR ELM,1969,2.43,-122.330467,37.567863, , 
ONSTAD MANOR,1971,1.95,-122.152628,37.7201189,113663,11.366267
ORANGE TREE,1962,1.58,-122.071807,37.637289,90044,9.004352
ORCHARD,1964,1.78,-122.074843,37.659421,97126,9.712608
OXFORD MANOR,1960,3.18,-122.2730672,37.5283516, , 
PACIFIC BAY VISTAS,2013,3.36,-122.4642432,37.6383961, , 
PACIFIC PLACE APARTMENT HOMES,2010,2.98,-122.4160097,37.7076984, , 
PACIFIC VIEW,1967,2.26,-122.4870216,37.6331408, , 
PACIFICA PARK,1977,2.66,-122.4775087,37.6590126, , 
PALM LAKE,1972,2.06,-122.022816,37.938411,93962,9.396191
PALM TERRACE,1968,1.57,-122.0336202,37.9678747,96844,9.684432
